============================================================
 DeadZone Device Image Audit Report
 Generated: 2026-06-29T19:43:18.843Z
============================================================

--- Summary ---
total supported device records: 172
source entries: 215
unique codenames: 172
duplicate codenames: 0
duplicate codenames merged: 9
verified image count: 138
placeholder count: 34
broken image files: 0
unused image files: 26
devices without codename: 0
missing mapped image files: 0

--- Per-Device Detail ---
codename | name | aliases | category | image path | status
------------------------------------------------------------
pudding | Xiaomi 17 |  | Xiaomi | /devices/pudding.webp | verified
pandora | Xiaomi 17 Pro |  | Xiaomi | public/devices/pandora.webp | missing
popsicle | Xiaomi 17 Pro Max |  | Xiaomi | public/devices/popsicle.webp | missing
nezha | Xiaomi 17 Ultra |  | Xiaomi | /devices/nezha.webp | verified
dada | Xiaomi 15 |  | Xiaomi | /devices/dada.webp | verified
haotian | Xiaomi 15 Pro |  | Xiaomi | /devices/haotian.webp | verified
xuanyuan | Xiaomi 15 Ultra |  | Xiaomi | /devices/xuanyuan.webp | verified
dijun | Xiaomi 15S Pro |  | Xiaomi | /devices/dijun.webp | verified
goya | Xiaomi 15T |  | Xiaomi | /devices/goya.webp | verified
klimt | Xiaomi 15T Pro |  | Xiaomi | /devices/klimt.webp | verified
houji | Xiaomi 14 |  | Xiaomi | /devices/houji.webp | verified
shennong | Xiaomi 14 Pro |  | Xiaomi | /devices/shennong.webp | verified
aurora | Xiaomi 14 Ultra |  | Xiaomi | /devices/aurora.webp | verified
degas | Xiaomi 14T |  | Xiaomi | /devices/degas.webp | verified
rothko | Xiaomi 14T Pro | Redmi K70 Ultra | Xiaomi | /devices/rothko.webp | verified
chenfeng | Xiaomi 14 Civi | Xiaomi Civi 4 Pro | Civi | /devices/chenfeng.webp | verified
fuxi | Xiaomi 13 |  | Xiaomi | /devices/fuxi.webp | verified
nuwa | Xiaomi 13 Pro |  | Xiaomi | /devices/nuwa.webp | verified
ishtar | Xiaomi 13 Ultra |  | Xiaomi | /devices/ishtar.webp | verified
ziyi | Xiaomi 13 Lite | Xiaomi Civi 2 | Civi | /devices/ziyi.webp | verified
aristotle | Xiaomi 13T |  | Xiaomi | /devices/aristotle.webp | verified
corot | Xiaomi 13T Pro | Redmi K60 Ultra | Xiaomi | /devices/corot.webp | verified
cupid | Xiaomi 12 |  | Xiaomi | /devices/cupid.webp | verified
zeus | Xiaomi 12 Pro |  | Xiaomi | /devices/zeus.webp | verified
daumier | Xiaomi 12 Pro Dimensity |  | Xiaomi | /devices/daumier.webp | verified
taoyao | Xiaomi 12 Lite |  | Xiaomi | /devices/taoyao.webp | verified
